ID,ID2,"Item title","Final URL","Image URL","Item subtitle","Item description","Item category",Price,"Sale price"
2157,,"Набор ягод Год Тигра",https://veryberrylab.ru/product/god-tigra/,https://veryberrylab.ru/upload/iblock/792/7920ea61d8412bf848c9c7a69c6edc7b.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"2390.00 RUB",
2174,,"Набор ягод Большой сюрприз для нее!",https://veryberrylab.ru/product/bolshoy-syurpriz-dlya-nee/,https://veryberrylab.ru/upload/iblock/217/217fb6c37a22764bf32999a4b5774452.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"6590.00 RUB",
2227,,"Набор ягод Космос",https://veryberrylab.ru/product/kosmoss/,https://veryberrylab.ru,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",13,"1890.00 RUB",
353,,"Шляпная коробка Любимому учителю и не только",https://veryberrylab.ru/product/lyubimomu-uchitelyu-i-ne-tolko/,https://veryberrylab.ru/upload/iblock/1a6/1a64db0d21ca2cb16b98cf06f60facb4.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"5490.00 RUB",
659,,"Шляпная коробка Сладкий каприз",https://veryberrylab.ru/product/yubileyg/,https://veryberrylab.ru/upload/iblock/8c9/8c9c43d41d4c3706ccace0f4c6e53b68.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"4390.00 RUB",
667,,"Шляпная коробка Моей принцессе",https://veryberrylab.ru/product/moey-printsesse/,https://veryberrylab.ru/upload/iblock/a6e/a6e4419d28144780438607a7a4e47e74.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"6090.00 RUB",
852,,"Шляпная коробка Тиффани в боксе",https://veryberrylab.ru/product/tiffani-v-bokse/,https://veryberrylab.ru/upload/iblock/02a/02a16962688dea767119c792ce5f0379.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"3890.00 RUB",
853,,"Шляпная коробка С днём свадьбы",https://veryberrylab.ru/product/s-dnyem-svadby/,https://veryberrylab.ru/upload/iblock/0dd/0dd0810c0b894298676044cfac0429d9.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"4390.00 RUB",
854,,"Шляпная коробка Юбилейный подарок",https://veryberrylab.ru/product/yubileynyy-podarok/,https://veryberrylab.ru/upload/iblock/a0c/a0c03a347bc0a4f1ea2cb1dde26d5ce0.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"5690.00 RUB",
855,,"Шляпная коробка Малиновый закат",https://veryberrylab.ru/product/malinovyy-zakat/,https://veryberrylab.ru/upload/iblock/173/173dadf508ecce82c35a4faf720c9c84.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"4390.00 RUB",
858,,"Шляпная коробка Молочный бокс",https://veryberrylab.ru/product/molochnyy-boks/,https://veryberrylab.ru/upload/iblock/86f/86fc54e9296a95912e4432370dc05571.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"3290.00 RUB",
860,,"Шляпная коробка Новогодняя сказка",https://veryberrylab.ru/product/novogodnyaya-skazka/,https://veryberrylab.ru/upload/iblock/7de/7deabfdd635adf90b646ef434c6be526.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"10790.00 RUB",
1687,,"Шляпная коробка Самой очаровательной девушке",https://veryberrylab.ru/product/samoy-ocharovatelnoy-devushke/,https://veryberrylab.ru/upload/iblock/8dd/8dd95d33ae7ec63d2f8caf27c7f225e0.JPG,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"6090.00 RUB",
1691,,"Шляпная коробка От самого сердца",https://veryberrylab.ru/product/ot-samogo-serdtsa9123345451/,https://veryberrylab.ru/upload/iblock/287/287c48b84690dca369247d29a29bfd15.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"7490.00 RUB",
1692,,"Шляпная коробка От самого сердца",https://veryberrylab.ru/product/ot-samogo-serdtsa175486672/,https://veryberrylab.ru/upload/iblock/f94/f94673f3b2fa5486c0806d0d080ae77b.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"6990.00 RUB",
1693,,"Шляпная коробка От самого сердца",https://veryberrylab.ru/product/ot-samogo-serdtsa234235/,https://veryberrylab.ru/upload/iblock/c16/c165b622d4f8103707aa845b7b1fd7a3.jpg,,"- Прямые поставки свежей клубники, каждое утро, которая бережно отбирается и моется нашими флористами. - Никаких мелких и кривых ягод! - Мы делаем максимально качественные букеты, поэтому вы можете не переживать, что букет не будет соответствовать фотографии.",14,"8290.00 RUB",
